subject	session	run	trial_nr	n	response
01	1	5	1	28.0	33.0
01	1	5	2	34.0	31.0
01	1	5	3	19.0	21.0
01	1	5	4	33.0	29.0
01	1	5	5	28.0	24.0
01	1	5	6	31.0	28.0
01	1	5	7	10.0	13.0
01	1	5	8	40.0	34.0
01	1	5	9	32.0	24.0
01	1	5	10	27.0	25.0
01	1	5	11	30.0	26.0
01	1	5	12	38.0	37.0
01	1	5	14	12.0	15.0
01	1	5	15	13.0	13.0
01	1	5	16	33.0	29.0
01	1	5	17	30.0	30.0
01	1	5	18	26.0	23.0
01	1	5	19	23.0	24.0
01	1	5	20	38.0	32.0
01	1	5	21	24.0	21.0
01	1	5	23	39.0	34.0
01	1	5	24	38.0	30.0
01	1	5	25	15.0	17.0
01	1	5	26	19.0	19.0
01	1	5	27	29.0	25.0
01	1	5	28	13.0	14.0
01	1	5	29	10.0	13.0
01	1	5	30	19.0	21.0
01	1	6	1	33.0	28.0
01	1	6	2	38.0	36.0
01	1	6	3	29.0	23.0
01	1	6	4	20.0	22.0
01	1	6	5	15.0	18.0
01	1	6	6	14.0	18.0
01	1	6	7	13.0	15.0
01	1	6	8	11.0	16.0
01	1	6	9	30.0	31.0
01	1	6	10	10.0	17.0
01	1	6	11	35.0	32.0
01	1	6	12	39.0	40.0
01	1	6	13	36.0	32.0
01	1	6	14	24.0	21.0
01	1	6	15	21.0	19.0
01	1	6	16	20.0	19.0
01	1	6	17	29.0	23.0
01	1	6	20	15.0	17.0
01	1	6	21	19.0	21.0
01	1	6	22	20.0	21.0
01	1	6	23	31.0	29.0
01	1	6	24	14.0	18.0
01	1	6	25	25.0	27.0
01	1	6	26	10.0	12.0
01	1	6	27	24.0	21.0
01	1	6	28	37.0	33.0
01	1	6	29	38.0	38.0
01	1	6	30	34.0	28.0
01	1	7	1	29.0	25.0
01	1	7	2	20.0	19.0
01	1	7	4	13.0	16.0
01	1	7	5	21.0	25.0
01	1	7	6	22.0	24.0
01	1	7	7	22.0	21.0
01	1	7	8	16.0	21.0
01	1	7	9	10.0	14.0
01	1	7	11	21.0	25.0
01	1	7	12	35.0	32.0
01	1	7	13	38.0	40.0
01	1	7	14	35.0	30.0
01	1	7	15	31.0	27.0
01	1	7	16	21.0	19.0
01	1	7	17	36.0	31.0
01	1	7	18	25.0	26.0
01	1	7	19	25.0	22.0
01	1	7	20	11.0	10.0
01	1	7	21	31.0	27.0
01	1	7	22	13.0	18.0
01	1	7	23	22.0	20.0
01	1	7	24	25.0	25.0
01	1	7	25	19.0	19.0
01	1	7	26	38.0	31.0
01	1	7	27	11.0	11.0
01	1	7	28	24.0	19.0
01	1	7	29	23.0	20.0
01	1	7	30	26.0	26.0
01	1	8	1	22.0	21.0
01	1	8	2	39.0	34.0
01	1	8	3	21.0	27.0
01	1	8	4	21.0	22.0
01	1	8	5	11.0	14.0
01	1	8	6	20.0	18.0
01	1	8	7	23.0	28.0
01	1	8	8	19.0	17.0
01	1	8	9	15.0	19.0
01	1	8	10	38.0	33.0
01	1	8	11	16.0	19.0
01	1	8	12	12.0	17.0
01	1	8	13	28.0	26.0
01	1	8	14	13.0	17.0
01	1	8	15	27.0	31.0
01	1	8	16	13.0	21.0
01	1	8	17	18.0	22.0
01	1	8	18	37.0	33.0
01	1	8	19	19.0	21.0
01	1	8	20	20.0	21.0
01	1	8	21	38.0	33.0
01	1	8	22	17.0	18.0
01	1	8	23	39.0	31.0
01	1	8	24	17.0	21.0
01	1	8	25	31.0	31.0
01	1	8	26	37.0	33.0
01	1	8	27	37.0	35.0
01	1	8	28	22.0	23.0
01	1	8	29	28.0	29.0
01	1	8	30	27.0	27.0
01	2	1	1	34.0	23.0
01	2	1	2	17.0	16.0
01	2	1	3	10.0	10.0
01	2	1	4	15.0	18.0
01	2	1	5	15.0	19.0
01	2	1	6	15.0	22.0
01	2	1	7	11.0	15.0
01	2	1	8	32.0	35.0
01	2	1	9	29.0	31.0
01	2	1	10	21.0	26.0
01	2	1	11	32.0	33.0
01	2	1	12	27.0	28.0
01	2	1	13	24.0	26.0
01	2	1	14	17.0	22.0
01	2	1	15	32.0	28.0
01	2	1	16	36.0	33.0
01	2	1	17	36.0	33.0
01	2	1	19	27.0	18.0
01	2	1	20	19.0	21.0
01	2	1	21	12.0	12.0
01	2	1	22	34.0	32.0
01	2	1	23	13.0	11.0
01	2	1	24	19.0	22.0
01	2	1	25	23.0	23.0
01	2	1	26	32.0	31.0
01	2	1	27	21.0	22.0
01	2	1	28	18.0	19.0
01	2	1	29	18.0	19.0
01	2	1	30	15.0	22.0
01	2	2	1	22.0	24.0
01	2	2	2	27.0	28.0
01	2	2	3	14.0	16.0
01	2	2	5	39.0	33.0
01	2	2	6	24.0	23.0
01	2	2	7	18.0	20.0
01	2	2	8	15.0	18.0
01	2	2	9	29.0	26.0
01	2	2	10	30.0	31.0
01	2	2	11	23.0	25.0
01	2	2	12	29.0	28.0
01	2	2	13	35.0	32.0
01	2	2	14	16.0	18.0
01	2	2	15	32.0	27.0
01	2	2	16	16.0	17.0
01	2	2	17	37.0	36.0
01	2	2	18	22.0	22.0
01	2	2	19	16.0	19.0
01	2	2	20	37.0	33.0
01	2	2	21	11.0	11.0
01	2	2	22	12.0	15.0
01	2	2	23	21.0	20.0
01	2	2	24	19.0	24.0
01	2	2	25	10.0	13.0
01	2	2	26	21.0	28.0
01	2	2	27	40.0	36.0
01	2	2	28	27.0	29.0
01	2	2	29	22.0	27.0
01	2	2	30	23.0	29.0
01	2	3	1	29.0	27.0
01	2	3	2	39.0	35.0
01	2	3	3	11.0	10.0
01	2	3	4	11.0	11.0
01	2	3	5	38.0	33.0
01	2	3	6	37.0	30.0
01	2	3	7	39.0	31.0
01	2	3	8	29.0	31.0
01	2	3	9	24.0	27.0
01	2	3	10	21.0	26.0
01	2	3	11	37.0	32.0
01	2	3	12	25.0	24.0
01	2	3	13	40.0	33.0
01	2	3	14	13.0	13.0
01	2	3	15	11.0	15.0
01	2	3	16	40.0	31.0
01	2	3	17	34.0	35.0
01	2	3	18	11.0	16.0
01	2	3	19	16.0	20.0
01	2	3	20	17.0	23.0
01	2	3	21	31.0	31.0
01	2	3	22	29.0	31.0
01	2	3	23	16.0	17.0
01	2	3	24	40.0	36.0
01	2	3	25	19.0	27.0
01	2	3	26	11.0	15.0
01	2	3	27	34.0	33.0
01	2	3	29	10.0	17.0
01	2	3	30	31.0	33.0
01	2	4	1	15.0	18.0
01	2	4	2	15.0	21.0
01	2	4	3	21.0	29.0
01	2	4	4	39.0	37.0
01	2	4	5	28.0	31.0
01	2	4	6	38.0	35.0
01	2	4	7	19.0	24.0
01	2	4	8	34.0	34.0
01	2	4	9	30.0	28.0
01	2	4	10	25.0	30.0
01	2	4	11	28.0	31.0
01	2	4	12	36.0	36.0
01	2	4	13	22.0	27.0
01	2	4	14	14.0	21.0
01	2	4	15	12.0	19.0
01	2	4	16	34.0	31.0
01	2	4	17	37.0	35.0
01	2	4	18	28.0	29.0
01	2	4	19	34.0	33.0
01	2	4	20	39.0	39.0
01	2	4	21	28.0	26.0
01	2	4	22	23.0	26.0
01	2	4	23	24.0	24.0
01	2	4	24	38.0	34.0
01	2	4	25	40.0	35.0
01	2	4	26	39.0	35.0
01	2	4	27	28.0	25.0
01	2	4	28	35.0	33.0
01	2	4	29	17.0	20.0
01	2	4	30	23.0	22.0
02	1	1	1	23.0	30.0
02	1	1	2	13.0	16.0
02	1	1	3	22.0	28.0
02	1	1	4	40.0	37.0
02	1	1	6	28.0	30.0
02	1	1	7	22.0	28.0
02	1	1	8	29.0	32.0
02	1	1	9	20.0	25.0
02	1	1	10	14.0	18.0
02	1	1	11	29.0	30.0
02	1	1	12	25.0	29.0
02	1	1	13	23.0	29.0
02	1	1	14	33.0	33.0
02	1	1	15	14.0	20.0
02	1	1	16	34.0	35.0
02	1	1	17	28.0	32.0
02	1	1	18	30.0	27.0
02	1	1	19	37.0	29.0
02	1	1	20	40.0	38.0
02	1	1	21	39.0	30.0
02	1	1	22	12.0	18.0
02	1	1	23	38.0	28.0
02	1	1	24	23.0	24.0
02	1	1	25	10.0	10.0
02	1	1	26	38.0	36.0
02	1	1	27	21.0	25.0
02	1	1	28	13.0	17.0
02	1	1	29	26.0	32.0
02	1	1	30	37.0	36.0
02	1	2	1	12.0	13.0
02	1	2	2	16.0	21.0
02	1	2	3	38.0	35.0
02	1	2	4	29.0	31.0
02	1	2	5	14.0	18.0
02	1	2	6	17.0	23.0
02	1	2	7	24.0	33.0
02	1	2	8	37.0	36.0
02	1	2	9	25.0	30.0
02	1	2	10	10.0	10.0
02	1	2	11	32.0	34.0
02	1	2	12	32.0	32.0
02	1	2	13	26.0	29.0
02	1	2	14	39.0	30.0
02	1	2	15	10.0	10.0
02	1	2	16	23.0	25.0
02	1	2	17	25.0	28.0
02	1	2	18	13.0	22.0
02	1	2	19	14.0	18.0
02	1	2	20	15.0	18.0
02	1	2	21	15.0	22.0
02	1	2	22	16.0	24.0
02	1	2	23	28.0	28.0
02	1	2	24	13.0	20.0
02	1	2	25	18.0	24.0
02	1	2	26	20.0	24.0
02	1	2	27	30.0	29.0
02	1	2	28	19.0	26.0
02	1	2	29	16.0	21.0
02	1	2	30	26.0	31.0
02	1	3	1	27.0	28.0
02	1	3	2	15.0	18.0
02	1	3	3	10.0	14.0
02	1	3	4	17.0	23.0
02	1	3	5	33.0	29.0
02	1	3	6	15.0	18.0
02	1	3	7	31.0	28.0
02	1	3	8	17.0	23.0
02	1	3	9	29.0	29.0
02	1	3	10	27.0	27.0
02	1	3	11	17.0	20.0
02	1	3	12	16.0	22.0
02	1	3	13	18.0	21.0
02	1	3	14	26.0	30.0
02	1	3	15	27.0	29.0
02	1	3	16	26.0	28.0
02	1	3	17	20.0	25.0
02	1	3	18	33.0	33.0
02	1	3	19	16.0	30.0
02	1	3	20	32.0	30.0
02	1	3	21	26.0	30.0
02	1	3	22	33.0	30.0
02	1	3	23	39.0	34.0
02	1	3	24	19.0	24.0
02	1	3	25	20.0	20.0
